log_type,column_name,missing_count,missing_rate_pct,classification
apu_ctrl_trig,vdcmin_v,0,0.0,None (0%)
apu_ctrl_trig,idc_max_v__needs_domain_confirmation,0,0.0,None (0%)
apu_ctrl_trig,idc_min_v__needs_domain_confirmation,0,0.0,None (0%)
apu_ctrl_trig,is_sensor_fault,0,0.0,None (0%)
apu_energy,log_type,0,0.0,None (0%)
apu_energy,system,0,0.0,None (0%)
apu_energy,timestamp,0,0.0,None (0%)
apu_energy,ch_1_pos_ah,0,0.0,None (0%)
apu_energy,ch_1_neg_ah,0,0.0,None (0%)
apu_energy,ch_2_pos_ah,0,0.0,None (0%)
apu_energy,ch_2_neg_ah,0,0.0,None (0%)
apu_energy,ch_3_pos_ah,0,0.0,None (0%)
apu_energy,ch_3_neg_ah,0,0.0,None (0%)
apu_energy,ch_4_pos_ah,0,0.0,None (0%)
apu_energy,ch_4_neg_ah,0,0.0,None (0%)
apu_energy,ch_5_pos_ah,0,0.0,None (0%)
apu_energy,ch_5_neg_ah,0,0.0,None (0%)
apu_energy,ch_6_pos_ah,0,0.0,None (0%)
apu_energy,ch_6_neg_ah,0,0.0,None (0%)
apu_energy,ch_7_pos_ah,0,0.0,None (0%)
apu_energy,ch_7_neg_ah,0,0.0,None (0%)
apu_energy,ch_8_pos_ah,0,0.0,None (0%)
apu_energy,ch_8_neg_ah,0,0.0,None (0%)
apu_energy,ch_9_pos_ah,0,0.0,None (0%)
apu_energy,ch_9_neg_ah,0,0.0,None (0%)
apu_energy,ch_10_pos_ah,0,0.0,None (0%)
apu_energy,ch_10_neg_ah,0,0.0,None (0%)
apu_energy,ch_11_pos_ah,0,0.0,None (0%)
apu_energy,ch_11_neg_ah,0,0.0,None (0%)
apu_energy,ch_12_pos_ah,0,0.0,None (0%)
apu_energy,ch_12_neg_ah,0,0.0,None (0%)
apu_energy,is_sensor_fault,0,0.0,None (0%)
apu_stat_10s,log_type,0,0.0,None (0%)
apu_stat_10s,system,0,0.0,None (0%)
apu_stat_10s,timestamp,0,0.0,None (0%)
apu_stat_10s,timestamp_original,0,0.0,None (0%)
apu_stat_10s,vl1n_v,0,0.0,None (0%)
apu_stat_10s,vl2n_v,0,0.0,None (0%)
apu_stat_10s,vl3n_v,0,0.0,None (0%)
apu_stat_10s,vl12_v,0,0.0,None (0%)
apu_stat_10s,vl23_v,0,0.0,None (0%)
apu_stat_10s,vl31_v,0,0.0,None (0%)
apu_stat_10s,f_hz,0,0.0,None (0%)
apu_stat_10s,il1_a,0,0.0,None (0%)
apu_stat_10s,il2_a,0,0.0,None (0%)
apu_stat_10s,il3_a,0,0.0,None (0%)
